Name: arville-b
Location: 48.1694 , 2.5539
Issued: 2020/07/10 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 18:00UTC,4.45,349
2020/07/10 21:00UTC,4.98,350
2020/07/11 00:00UTC,3.82,353
2020/07/11 03:00UTC,2.91,1
2020/07/11 06:00UTC,1.88,11
2020/07/11 09:00UTC,2.31,17
2020/07/11 12:00UTC,3.41,351
2020/07/11 15:00UTC,3.96,358
2020/07/11 18:00UTC,4.45,358
2020/07/11 21:00UTC,4.57,4
2020/07/12 00:00UTC,4.51,27
2020/07/12 03:00UTC,3.76,25
2020/07/12 06:00UTC,3.17,19
2020/07/12 09:00UTC,3.22,29
2020/07/12 12:00UTC,2.85,15
2020/07/12 18:00UTC,3.56,47
2020/07/13 00:00UTC,4.33,38
2020/07/13 03:00UTC,3.57,32
2020/07/13 06:00UTC,2.49,23
2020/07/13 09:00UTC,2.04,19
2020/07/13 18:00UTC,3.95,344
2020/07/14 00:00UTC,4.15,342
2020/07/14 09:00UTC,1.76,287
2020/07/14 12:00UTC,2.66,266
2020/07/14 15:00UTC,4.68,292
2020/07/14 18:00UTC,3.07,317
2020/07/15 03:00UTC,3.26,284
2020/07/15 06:00UTC,4.28,267
2020/07/15 09:00UTC,4.75,258
2020/07/15 21:00UTC,3.26,323
2020/07/16 00:00UTC,2.77,322
2020/07/16 03:00UTC,2.20,312
2020/07/16 06:00UTC,1.01,304
2020/07/16 09:00UTC,1.76,312
2020/07/16 12:00UTC,1.31,351
