Name: boissy-la-riviere-b
Location: 48.3795 , 2.1776
Issued: 2020/07/10 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 18:00UTC,4.94,347
2020/07/10 21:00UTC,5.04,344
2020/07/11 00:00UTC,3.82,349
2020/07/11 03:00UTC,2.89,354
2020/07/11 06:00UTC,1.66,2
2020/07/11 09:00UTC,2.46,20
2020/07/11 12:00UTC,4.03,347
2020/07/11 15:00UTC,3.66,356
2020/07/11 18:00UTC,4.41,9
2020/07/11 21:00UTC,4.60,14
2020/07/12 00:00UTC,4.34,28
2020/07/12 03:00UTC,3.77,23
2020/07/12 06:00UTC,3.28,19
2020/07/12 09:00UTC,3.42,33
2020/07/12 12:00UTC,2.87,25
2020/07/12 18:00UTC,4.69,20
2020/07/13 00:00UTC,4.55,32
2020/07/13 03:00UTC,3.53,31
2020/07/13 06:00UTC,2.67,18
2020/07/13 09:00UTC,2.35,18
2020/07/13 18:00UTC,2.33,346
2020/07/14 00:00UTC,4.18,336
2020/07/14 09:00UTC,2.07,284
2020/07/14 12:00UTC,3.76,264
2020/07/14 15:00UTC,5.50,303
2020/07/14 18:00UTC,3.76,313
2020/07/15 03:00UTC,3.87,280
2020/07/15 06:00UTC,4.33,263
2020/07/15 09:00UTC,4.97,259
2020/07/15 21:00UTC,3.79,321
2020/07/16 00:00UTC,2.80,320
2020/07/16 03:00UTC,2.25,309
2020/07/16 06:00UTC,1.07,302
2020/07/16 09:00UTC,1.14,297
2020/07/16 12:00UTC,1.02,339
