Name: guitrancourt-b
Location: 49.0033 , 1.79
Issued: 2020/07/10 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 18:00UTC,5.44,329
2020/07/10 21:00UTC,4.23,334
2020/07/11 00:00UTC,3.07,336
2020/07/11 03:00UTC,1.93,339
2020/07/11 06:00UTC,1.36,340
2020/07/11 09:00UTC,2.87,352
2020/07/11 12:00UTC,2.96,336
2020/07/11 15:00UTC,4.33,346
2020/07/11 18:00UTC,5.09,358
2020/07/11 21:00UTC,4.22,12
2020/07/12 00:00UTC,3.43,28
2020/07/12 03:00UTC,2.74,30
2020/07/12 06:00UTC,2.25,33
2020/07/12 09:00UTC,2.79,45
2020/07/12 12:00UTC,2.57,46
2020/07/12 18:00UTC,3.31,43
2020/07/13 00:00UTC,4.03,39
2020/07/13 03:00UTC,2.61,42
2020/07/13 06:00UTC,1.53,22
2020/07/13 09:00UTC,1.64,16
2020/07/13 18:00UTC,6.98,325
2020/07/14 00:00UTC,3.82,313
2020/07/14 09:00UTC,2.87,279
2020/07/14 12:00UTC,6.14,292
2020/07/14 15:00UTC,4.72,300
2020/07/14 18:00UTC,6.42,314
2020/07/15 03:00UTC,4.83,268
2020/07/15 06:00UTC,4.39,258
2020/07/15 09:00UTC,5.39,267
2020/07/15 21:00UTC,3.60,312
2020/07/16 00:00UTC,2.43,301
2020/07/16 03:00UTC,1.96,272
2020/07/16 06:00UTC,1.16,252
2020/07/16 09:00UTC,1.39,274
2020/07/16 12:00UTC,1.83,317
