Name: lieusaint-b
Location: 48.6192 , 2.5492
Issued: 2020/07/10 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 18:00UTC,4.90,338
2020/07/10 21:00UTC,4.72,342
2020/07/11 00:00UTC,3.72,348
2020/07/11 03:00UTC,2.61,357
2020/07/11 06:00UTC,1.40,360
2020/07/11 09:00UTC,2.39,9
2020/07/11 12:00UTC,4.31,337
2020/07/11 15:00UTC,3.84,333
2020/07/11 18:00UTC,4.83,357
2020/07/11 21:00UTC,4.68,14
2020/07/12 00:00UTC,4.16,26
2020/07/12 03:00UTC,3.55,19
2020/07/12 06:00UTC,3.08,15
2020/07/12 09:00UTC,3.11,31
2020/07/12 12:00UTC,2.33,13
2020/07/12 18:00UTC,3.95,33
2020/07/13 00:00UTC,4.39,36
2020/07/13 03:00UTC,3.33,30
2020/07/13 06:00UTC,2.41,17
2020/07/13 09:00UTC,2.06,12
2020/07/13 18:00UTC,2.66,305
2020/07/14 00:00UTC,4.07,333
2020/07/14 09:00UTC,2.11,279
2020/07/14 12:00UTC,4.21,264
2020/07/14 15:00UTC,3.83,307
2020/07/14 18:00UTC,2.77,306
2020/07/15 03:00UTC,3.85,279
2020/07/15 06:00UTC,4.33,263
2020/07/15 09:00UTC,4.58,254
2020/07/15 21:00UTC,3.64,315
2020/07/16 00:00UTC,2.72,317
2020/07/16 03:00UTC,2.10,308
2020/07/16 06:00UTC,1.04,303
2020/07/16 09:00UTC,1.14,297
2020/07/16 12:00UTC,0.94,336
