Name: lvs-pussay-b
Location: 48.3394 , 1.9727
Issued: 2020/07/10 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 18:00UTC,5.03,350
2020/07/10 21:00UTC,5.15,343
2020/07/11 00:00UTC,3.82,349
2020/07/11 03:00UTC,2.96,353
2020/07/11 06:00UTC,1.70,1
2020/07/11 09:00UTC,2.54,20
2020/07/11 12:00UTC,3.77,349
2020/07/11 15:00UTC,3.83,4
2020/07/11 18:00UTC,4.26,18
2020/07/11 21:00UTC,4.58,18
2020/07/12 00:00UTC,4.38,29
2020/07/12 03:00UTC,3.81,26
2020/07/12 06:00UTC,3.34,22
2020/07/12 09:00UTC,3.58,34
2020/07/12 12:00UTC,3.18,30
2020/07/12 18:00UTC,4.79,11
2020/07/13 00:00UTC,4.63,30
2020/07/13 03:00UTC,3.57,32
2020/07/13 06:00UTC,2.74,20
2020/07/13 09:00UTC,2.49,21
2020/07/13 18:00UTC,2.33,8
2020/07/14 00:00UTC,4.21,337
2020/07/14 09:00UTC,2.12,285
2020/07/14 12:00UTC,3.89,266
2020/07/14 15:00UTC,6.17,301
2020/07/14 18:00UTC,4.52,311
2020/07/15 03:00UTC,4.06,279
2020/07/15 06:00UTC,4.35,262
2020/07/15 09:00UTC,5.24,261
2020/07/15 21:00UTC,3.88,325
2020/07/16 00:00UTC,2.82,321
2020/07/16 03:00UTC,2.29,310
2020/07/16 06:00UTC,1.09,300
2020/07/16 09:00UTC,1.10,293
2020/07/16 12:00UTC,1.08,331
