Name: parc-du-gatinais-b
Location: 48.1399 , 2.5616
Issued: 2020/07/10 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/10 18:00UTC,4.42,350
2020/07/10 21:00UTC,4.99,350
2020/07/11 00:00UTC,3.81,354
2020/07/11 03:00UTC,2.92,1
2020/07/11 06:00UTC,1.90,12
2020/07/11 09:00UTC,2.31,17
2020/07/11 12:00UTC,3.33,352
2020/07/11 15:00UTC,4.02,360
2020/07/11 18:00UTC,4.41,358
2020/07/11 21:00UTC,4.55,3
2020/07/12 00:00UTC,4.53,27
2020/07/12 03:00UTC,3.77,25
2020/07/12 06:00UTC,3.16,19
2020/07/12 09:00UTC,3.23,29
2020/07/12 12:00UTC,2.91,15
2020/07/12 18:00UTC,3.50,47
2020/07/13 00:00UTC,4.31,38
2020/07/13 03:00UTC,3.57,32
2020/07/13 06:00UTC,2.47,24
2020/07/13 09:00UTC,2.03,19
2020/07/13 18:00UTC,4.06,346
2020/07/14 00:00UTC,4.15,342
2020/07/14 09:00UTC,1.75,288
2020/07/14 12:00UTC,2.55,268
2020/07/14 15:00UTC,4.77,290
2020/07/14 18:00UTC,3.18,317
2020/07/15 03:00UTC,3.22,285
2020/07/15 06:00UTC,4.28,267
2020/07/15 09:00UTC,4.77,258
2020/07/15 21:00UTC,3.22,324
2020/07/16 00:00UTC,2.77,322
2020/07/16 03:00UTC,2.19,312
2020/07/16 06:00UTC,1.00,303
2020/07/16 09:00UTC,1.81,313
2020/07/16 12:00UTC,1.36,352
