Time,Speed1 (m/s),Speed2 (m/s),Speed3 (m/s),Speed4 (m/s),Speed5 (m/s),Speed6 (m/s),Speed7 (m/s),Speed8 (m/s)
2017-01-01 00:00:00+00:00,1.67,1.67,1.45,1.66,1.86,1.5,1.71,1.45
2017-01-01 01:00:00+00:00,1.78,1.78,1.5583333333333333,1.7733333333333332,1.961666666666667,1.6366666666666667,1.82,1.5566666666666666
2017-01-01 02:00:00+00:00,1.89,1.89,1.6666666666666667,1.8866666666666665,2.0633333333333335,1.7733333333333332,1.93,1.6633333333333333
2017-01-01 03:00:00+00:00,2.0,2.0,1.775,2.0,2.165,1.91,2.04,1.77
2017-01-01 04:00:00+00:00,2.11,2.11,1.8833333333333333,2.1133333333333333,2.2666666666666666,2.0466666666666664,2.15,1.8766666666666665
2017-01-01 05:00:00+00:00,2.22,2.22,1.9916666666666667,2.2266666666666666,2.3683333333333336,2.183333333333333,2.2600000000000002,1.9833333333333332
2017-01-01 06:00:00+00:00,2.33,2.33,2.1,2.34,2.47,2.32,2.37,2.09
2017-01-01 07:00:00+00:00,2.52,2.52,2.265,2.5316666666666667,2.6833333333333336,2.5083333333333333,2.5633333333333335,2.253333333333333
2017-01-01 08:00:00+00:00,2.71,2.71,2.43,2.723333333333333,2.896666666666667,2.6966666666666668,2.756666666666667,2.4166666666666665
2017-01-01 09:00:00+00:00,2.9000000000000004,2.9000000000000004,2.5949999999999998,2.915,3.1100000000000003,2.885,2.95,2.58
2017-01-01 10:00:00+00:00,3.0900000000000003,3.0900000000000003,2.76,3.106666666666667,3.3233333333333333,3.0733333333333333,3.143333333333333,2.743333333333333
2017-01-01 11:00:00+00:00,3.2800000000000002,3.2800000000000002,2.925,3.298333333333334,3.5366666666666666,3.2616666666666667,3.3366666666666664,2.9066666666666663
2017-01-01 12:00:00+00:00,3.47,3.47,3.09,3.49,3.75,3.45,3.53,3.07
2017-01-01 13:00:00+00:00,3.3533333333333335,3.3533333333333335,3.0166666666666666,3.3600000000000003,3.6616666666666666,3.3066666666666666,3.4066666666666663,3.0016666666666665
2017-01-01 14:00:00+00:00,3.236666666666667,3.236666666666667,2.9433333333333334,3.23,3.5733333333333333,3.1633333333333336,3.283333333333333,2.933333333333333
2017-01-01 15:00:00+00:00,3.12,3.12,2.87,3.1,3.4850000000000003,3.02,3.16,2.865
2017-01-01 16:00:00+00:00,3.0033333333333334,3.0033333333333334,2.7966666666666664,2.97,3.396666666666667,2.8766666666666665,3.0366666666666666,2.796666666666667
2017-01-01 17:00:00+00:00,2.8866666666666667,2.8866666666666667,2.723333333333333,2.84,3.3083333333333336,2.7333333333333334,2.913333333333333,2.7283333333333335
2017-01-01 18:00:00+00:00,2.77,2.77,2.65,2.71,3.22,2.59,2.79,2.66
2017-01-01 19:00:00+00:00,2.6766666666666667,2.6766666666666667,2.5266666666666664,2.635,3.061666666666667,2.5549999999999997,2.7,2.5283333333333333
2017-01-01 20:00:00+00:00,2.5833333333333335,2.5833333333333335,2.4033333333333333,2.56,2.9033333333333333,2.52,2.61,2.396666666666667
2017-01-01 21:00:00+00:00,2.49,2.49,2.28,2.485,2.745,2.485,2.52,2.265
2017-01-01 22:00:00+00:00,2.3966666666666665,2.3966666666666665,2.1566666666666667,2.4099999999999997,2.586666666666667,2.4499999999999997,2.43,2.1333333333333333
2017-01-01 23:00:00+00:00,2.3033333333333332,2.3033333333333332,2.033333333333333,2.335,2.4283333333333337,2.415,2.34,2.001666666666667
2017-01-02 00:00:00+00:00,2.21,2.21,1.91,2.26,2.27,2.38,2.25,1.87
2017-01-02 01:00:00+00:00,2.08,2.08,1.8716666666666666,2.118333333333333,1.99,2.1766666666666667,2.105,1.8433333333333335
2017-01-02 02:00:00+00:00,1.95,1.95,1.8333333333333333,1.9766666666666666,1.71,1.9733333333333332,1.96,1.8166666666666667
2017-01-02 03:00:00+00:00,1.8199999999999998,1.8199999999999998,1.795,1.835,1.43,1.77,1.815,1.79
2017-01-02 04:00:00+00:00,1.69,1.69,1.7566666666666666,1.6933333333333334,1.15,1.5666666666666664,1.67,1.7633333333333334
2017-01-02 05:00:00+00:00,1.56,1.56,1.7183333333333333,1.5516666666666667,0.8699999999999999,1.3633333333333333,1.525,1.7366666666666666
2017-01-02 06:00:00+00:00,1.43,1.43,1.68,1.41,0.59,1.16,1.38,1.71
2017-01-02 07:00:00+00:00,1.6133333333333333,1.6133333333333333,1.6516666666666666,1.6033333333333333,1.1566666666666667,1.4033333333333333,1.5966666666666667,1.665
2017-01-02 08:00:00+00:00,1.7966666666666666,1.7966666666666666,1.6233333333333333,1.7966666666666666,1.7233333333333336,1.6466666666666667,1.8133333333333332,1.6199999999999999
2017-01-02 09:00:00+00:00,1.98,1.98,1.595,1.9899999999999998,2.29,1.8900000000000001,2.0300000000000002,1.575
2017-01-02 10:00:00+00:00,2.163333333333333,2.163333333333333,1.5666666666666667,2.183333333333333,2.856666666666667,2.1333333333333333,2.2466666666666666,1.53
2017-01-02 11:00:00+00:00,2.3466666666666667,2.3466666666666667,1.5383333333333333,2.3766666666666665,3.423333333333334,2.376666666666667,2.4633333333333334,1.4849999999999999
2017-01-02 12:00:00+00:00,2.53,2.53,1.51,2.57,3.99,2.62,2.68,1.44
2017-01-02 13:00:00+00:00,2.5766666666666667,2.5766666666666667,1.7283333333333333,2.591666666666667,3.661666666666667,2.575,2.7016666666666667,1.675
2017-01-02 14:00:00+00:00,2.623333333333333,2.623333333333333,1.9466666666666665,2.6133333333333333,3.3333333333333335,2.5300000000000002,2.7233333333333336,1.91
2017-01-02 15:00:00+00:00,2.67,2.67,2.165,2.635,3.005,2.4850000000000003,2.745,2.145
2017-01-02 16:00:00+00:00,2.716666666666667,2.716666666666667,2.3833333333333333,2.6566666666666667,2.6766666666666667,2.44,2.7666666666666666,2.38
2017-01-02 17:00:00+00:00,2.763333333333333,2.763333333333333,2.6016666666666666,2.6783333333333337,2.3483333333333336,2.395,2.7883333333333336,2.615
2017-01-02 18:00:00+00:00,2.81,2.81,2.82,2.7,2.02,2.35,2.81,2.85
2017-01-02 19:00:00+00:00,2.6466666666666665,2.645,2.665,2.5133333333333336,1.875,2.1416666666666666,2.645,2.7033333333333336
2017-01-02 20:00:00+00:00,2.4833333333333334,2.48,2.51,2.3266666666666667,1.73,1.9333333333333333,2.48,2.5566666666666666
2017-01-02 21:00:00+00:00,2.3200000000000003,2.315,2.355,2.14,1.585,1.725,2.315,2.41
2017-01-02 22:00:00+00:00,2.1566666666666667,2.15,2.1999999999999997,1.9533333333333336,1.44,1.5166666666666666,2.15,2.263333333333333
2017-01-02 23:00:00+00:00,1.9933333333333334,1.9849999999999999,2.045,1.7666666666666668,1.295,1.3083333333333333,1.9849999999999999,2.1166666666666667
2017-01-03 00:00:00+00:00,1.83,1.82,1.89,1.58,1.15,1.1,1.82,1.97
2017-01-03 01:00:00+00:00,1.7916666666666667,1.7816666666666667,1.8366666666666667,1.55,0.9716666666666666,1.0583333333333333,1.7833333333333334,1.9116666666666666
2017-01-03 02:00:00+00:00,1.7533333333333334,1.7433333333333334,1.7833333333333332,1.52,0.7933333333333332,1.0166666666666666,1.7466666666666668,1.8533333333333333
2017-01-03 03:00:00+00:00,1.715,1.705,1.73,1.49,0.615,0.9750000000000001,1.71,1.795
2017-01-03 04:00:00+00:00,1.6766666666666667,1.6666666666666667,1.6766666666666667,1.46,0.43666666666666665,0.9333333333333333,1.6733333333333333,1.7366666666666668
2017-01-03 05:00:00+00:00,1.6383333333333334,1.6283333333333334,1.6233333333333333,1.43,0.2583333333333333,0.8916666666666666,1.6366666666666667,1.6783333333333335
2017-01-03 06:00:00+00:00,1.6,1.59,1.57,1.4,0.08,0.85,1.6,1.62
2017-01-03 07:00:00+00:00,1.4216666666666669,1.4133333333333333,1.375,1.285,0.4683333333333334,0.9433333333333334,1.425,1.4066666666666667
2017-01-03 08:00:00+00:00,1.2433333333333334,1.2366666666666668,1.1800000000000002,1.17,0.8566666666666667,1.0366666666666666,1.25,1.1933333333333334
2017-01-03 09:00:00+00:00,1.065,1.06,0.9850000000000001,1.055,1.245,1.13,1.0750000000000002,0.9800000000000001
2017-01-03 10:00:00+00:00,0.8866666666666667,0.8833333333333334,0.7900000000000001,0.94,1.6333333333333335,1.2233333333333332,0.9,0.7666666666666667
2017-01-03 11:00:00+00:00,0.7083333333333334,0.7066666666666668,0.5950000000000002,0.825,2.021666666666667,1.3166666666666667,0.725,0.5533333333333335
2017-01-03 12:00:00+00:00,0.53,0.53,0.4,0.71,2.41,1.41,0.55,0.34
2017-01-03 13:00:00+00:00,0.7483333333333334,0.7483333333333334,0.585,0.9099999999999999,2.5116666666666667,1.5416666666666665,0.7733333333333333,0.5283333333333333
2017-01-03 14:00:00+00:00,0.9666666666666668,0.9666666666666668,0.77,1.1099999999999999,2.6133333333333333,1.6733333333333333,0.9966666666666666,0.7166666666666667
2017-01-03 15:00:00+00:00,1.185,1.185,0.955,1.31,2.715,1.8050000000000002,1.22,0.905
2017-01-03 16:00:00+00:00,1.4033333333333333,1.4033333333333333,1.14,1.5099999999999998,2.816666666666667,1.9366666666666668,1.4433333333333334,1.0933333333333333
2017-01-03 17:00:00+00:00,1.6216666666666668,1.6216666666666668,1.3249999999999997,1.71,2.9183333333333334,2.0683333333333334,1.6666666666666665,1.2816666666666667
2017-01-03 18:00:00+00:00,1.84,1.84,1.51,1.91,3.02,2.2,1.89,1.47
2017-01-03 19:00:00+00:00,2.086666666666667,2.0883333333333334,1.8016666666666667,2.158333333333333,3.2133333333333334,2.4433333333333334,2.1316666666666664,1.7633333333333332
2017-01-03 20:00:00+00:00,2.3333333333333335,2.336666666666667,2.0933333333333333,2.4066666666666667,3.4066666666666667,2.686666666666667,2.373333333333333,2.0566666666666666
2017-01-03 21:00:00+00:00,2.58,2.585,2.385,2.655,3.5999999999999996,2.93,2.6149999999999998,2.35
2017-01-03 22:00:00+00:00,2.8266666666666667,2.8333333333333335,2.6766666666666667,2.9033333333333333,3.793333333333333,3.1733333333333333,2.8566666666666665,2.6433333333333335
2017-01-03 23:00:00+00:00,3.0733333333333333,3.081666666666667,2.968333333333333,3.1516666666666664,3.9866666666666664,3.416666666666667,3.098333333333333,2.9366666666666665
2017-01-04 00:00:00+00:00,3.32,3.33,3.26,3.4,4.18,3.66,3.34,3.23
2017-01-04 01:00:00+00:00,3.333333333333333,3.341666666666667,3.2816666666666663,3.413333333333333,4.0216666666666665,3.6283333333333334,3.355,3.2533333333333334
2017-01-04 02:00:00+00:00,3.3466666666666667,3.3533333333333335,3.3033333333333332,3.4266666666666667,3.8633333333333333,3.5966666666666667,3.37,3.276666666666667
2017-01-04 03:00:00+00:00,3.36,3.365,3.325,3.44,3.705,3.5650000000000004,3.385,3.3
2017-01-04 04:00:00+00:00,3.373333333333333,3.3766666666666665,3.3466666666666667,3.453333333333333,3.5466666666666664,3.5333333333333337,3.4,3.3233333333333333
2017-01-04 05:00:00+00:00,3.3866666666666667,3.388333333333333,3.368333333333333,3.466666666666667,3.388333333333333,3.501666666666667,3.415,3.3466666666666667
